UF,Cidade,Lat,Lon,ID,,
AP,Mazagão,-0.1149997,-51.2890003,2,,
AP,Oiapoque,3843,-51835,2,,
AP,Pedra Branca do Amapari,778,-51.9440003,2,,
AP,Porto Grande,0.7130003,-51413,2,,
AP,Pracuúba,0,0,2,,
AP,Santana,-0.055426,-51.1767672,2,,
AP,Serra do Navio,896,-52.0020003,2,,
AP,Tartarugalzinho,0,0,2,,
AP,Vitória do Jari,0,0,2,,
BA,Abaíra,-13.24883,-41.661869,2,,
BA,Abaré,-8.720734,-39.116178,2,,
BA,Acajutiba,-11.657522,-38.019737,2,,
BA,Adustina,-10.54369,-38.111265,2,,
BA,Água Fria,0,0,2,,
BA,Aiquara,-14.126918,-39.893653,2,,
BA,Alagoinhas,0,0,2,,
BA,Alcobaça,-17.519468,-39.203609,2,,
BA,Almadina,-14.708869,-39.641491,2,,
BA,Amargosa,-13.021462,-39.601966,2,,
BA,Amélia Rodrigues,-12.391429,-38.756289,2,,
BA,América Dourada,-11.442938,-41.439007,2,,
BA,Anagé,-14.61512,-41.135569,2,,
BA,Andaraí,0,0,2,,
BA,Andorinha,-10.348214,-39.839142,2,,
BA,Angical,0,0,2,,
BA,Anguera,-12.146157,-39.246186,2,,
BA,Antas,-10.385621,-38.340118,2,,
BA,Antônio Cardoso,-12.433493,-39.117555,2,,
BA,Antônio Gonçalves,-10.576686,-40.278489,2,,
BA,Aporá,-11.657708,-38.081418,2,,
BA,Apuarema,-13.854241,-39.750148,2,,
BA,Araças,0,0,2,,
BA,Aracatu,-14.427986,-41.464783,2,,
BA,Araci,-11.325316,-38.958385,2,,
BA,Aramari,-12.088399,-38.496937,2,,
BA,Arataca,-15.265099,-39.419017,2,,
BA,Aratuípe,-13.071595,-39.003763,2,,
BA,Aurelino Leal,0,0,2,,
BA,Baianópolis,0,0,2,,
BA,Baixa Grande,0,0,2,,
BA,Banzaê,-10.578784,-38.621243,2,,
BA,Barra,0,0,2,,
BA,Barra da Estiva,-13.623699,-41.334697,2,,
BA,Barra do Choça,-14.8663377,-40.5803746,2,,
BA,Barra do Mendes,-11.802898,-42.094698,2,,
BA,Barra do Rocha,-14.199994,-39.599098,2,,
BA,Barreiras,-12.1439,-44.9972,2,,
BA,Barro Alto,0,0,2,,
BA,Barro Preto,0,0,2,,
BA,Barrocas,-11.529978,-39.078727,2,,
BA,Belmonte,0,0,2,,
BA,Belo Campo,0,0,2,,
BA,Biritinga,-11.607156,-38.805055,2,,
BA,Boa Nova,-14.359754,-40.206444,2,,
BA,Boa Vista do Tupim,-12.649774,-40.606376,2,,
BA,Bom Jesus da Lapa,-13.250571,-43.410754,2,,
BA,Bom Jesus da Serra,-14.366312,-40.512556,2,,
BA,Boninal,-12.706887,-41.828604,2,,
BA,Bonito,0,0,2,,
BA,Boquira,-12.820536,-42.732354,2,,
BA,Botuporã,-13.377235,-42.516301,2,,
BA,Brejões,-13.103948,-39.798797,2,,
BA,Brejolândia,-12.481547,-43.967855,2,,
BA,Brotas de Macaúbas,-11.991452,-42.632609,2,,
BA,Brumado,-14.202127,-41.669592,2,,
BA,Buerarema,-14.959497,-39.302849,2,,
BA,Buritirama,-10.717055,-43.630231,2,,
BA,Caatiba,-14.969854,-40.409156,2,,
BA,Cabaceiras do Paraguaçu,-12.531694,-39.190231,2,,
BA,Cachoeira,0,0,2,,
BA,Caculé,-14.500281,-42.222872,2,,
BA,Caém,-11.067693,-40.432039,2,,
BA,Caetanos,-14.334745,-40.917506,2,,
BA,Caetité,-14.068422,-42.486133,2,,
BA,Cafarnaum,-11.691399,-41.468823,2,,
BA,Cairu,-13.490377,-39.046525,2,,
BA,Caldeirão Grande,-11.020798,-40.295577,2,,
BA,Camacan,-15.414157,-39.491937,2,,
BA,Camaçari,-12.699638,-38.326265,2,,
BA,Camamu,-13.939773,-39.107082,2,,
BA,Campo Alegre de Lourdes,-9.522212,-43.01258,2,,
BA,Campo Formoso,0,0,2,,
BA,Canápolis,0,0,2,,
BA,Canarana,0,0,2,,
BA,Canavieiras,-15.672205,-38.953648,2,,
BA,Candeal,-11.804851,-39.120277,2,,
BA,Candeias,0,0,2,,
BA,Candiba,-14.409738,-42.866694,2,,
BA,Cândido Sales,-15.499309,-41.241438,2,,
BA,Cansanção,-10.664713,-39.494388,2,,
BA,Canudos,-9.900135,-39.147059,2,,
BA,Capela do Alto Alegre,-11.665797,-39.834912,2,,
BA,Capim Grosso,-11.3777725,-40.0090527,2,,
BA,Caraíbas,0,0,2,,
BA,Caravelas,-17.726839,-39.259679,2,,
BA,Cardeal da Silva,-11.947191,-37.946905,2,,
BA,Carinhanha,-14.298524,-43.772349,2,,
BA,Casa Nova,-9.164083,-40.973977,2,,
BA,Castro Alves,-12.75795,-39.424753,2,,
BA,Catolândia,-12.310013,-44.864808,2,,
BA,Catu,-12.351274,-38.379108,2,,
BA,Caturama,-13.323938,-42.290385,2,,
BA,Central,-11.137576,-42.111625,2,,
BA,Chorrochó,-8.969498,-39.097942,2,,
BA,Cícero Dantas,-10.589664,-38.379377,2,,
BA,Cipó,-11.103172,-38.517942,2,,
